total_spent_usd,,Sample size:,50,,bootstrap_sample,boot_mean,boot_median,,iteration,boot_mean,boot_median,,,
,,,,,,,,,233,250.396,248.965,,,
,,,,,,,,,234,246.4864,242.825,,,
,,,,,,,,,235,259.2742,249.86,,,
,,,,,,,,,236,234.4866,223.7,,,
,,,,,,,,,237,240.941,249.625,,,
,,,,,,,,,238,233.9944,228.075,,,
,,,,,,,,,239,257.5604,272.195,,,
,,,,,,,,,240,249.6012,256.15,,,
,,,,,,,,,241,239.849,222.79,,,
,,,,,,,,,242,238.316,226.64,,,
,,,,,,,,,243,228.0326,222.79,,,
,,,,,,,,,244,249.2634,250.73,,,
,,,,,,,,,245,252.1248,250.52,,,
,,,,,,,,,246,258.3458,250.73,,,
,,,,,,,,,247,234.6886,243.72,,,
,,,,,,,,,248,239.4858,229.28,,,
,,,,,,,,,249,231.308,232,,,
,,,,,,,,,250,267.096,253.44,,,
,,,,,,,,,251,238.1556,228.075,,,
,,,,,,,,,252,239.3608,248.965,,,
,,,,,,,,,253,239.0216,219.56,,,
,,,,,,,,,254,254.7416,256.15,,,
,,,,,,,,,255,239.2122,227.96,,,
,,,,,,,,,256,237.5392,237.13,,,
,,,,,,,,,257,250.0972,257.17,,,
,,,,,,,,,258,272.175,277.415,,,
,,,,,,,,,259,234.1104,218.94,,,
,,,,,,,,,260,234.5084,222.79,,,
,,,,,,,,,261,241.7216,223.815,,,
,,,,,,,,,262,231.8616,236.925,,,
,,,,,,,,,263,240.736,220.76,,,
,,,,,,,,,264,250.0376,250.31,,,
,,,,,,,,,265,235.7208,226.64,,,
,,,,,,,,,266,240.7208,233,,,
,,,,,,,,,267,233.2434,229.28,,,
,,,,,,,,,268,242.3924,228.075,,,
,,,,,,,,,269,234.925,227.96,,,
,,,,,,,,,270,252.6116,236.925,,,
,,,,,,,,,271,234.4128,223.7,,,
,,,,,,,,,272,239.1078,236.925,,,
,,,,,,,,,273,249.3614,253.44,,,
,,,,,,,,,274,220.9014,233.205,,,
,,,,,,,,,275,247.551,248.52,,,
,,,,,,,,,276,228.7068,221.13,,,
,,,,,,,,,277,225.543,217.32,,,
,,,,,,,,,278,233.3794,236.72,,,
,,,,,,,,,279,222.027,218.94,,,
,,,,,,,,,280,229.1776,219.85,,,
,,,,,,,,,281,254.6292,262.695,,,
,,,,,,,,,282,253.8726,250.73,,,
,,,,,,,,,283,251.089,248.965,,,
,,,,,,,,,284,242.1506,237.13,,,
,,,,,,,,,285,230.8388,217.32,,,
,,,,,,,,,286,253.6722,249.86,,,
,,,,,,,,,287,244.8654,256.15,,,
,,,,,,,,,288,240.454,236.72,,,
,,,,,,,,,289,230.7672,229.28,,,
,,,,,,,,,290,232.1542,226.87,,,
,,,,,,,,,291,243.867,248.52,,,
,,,,,,,,,292,245.1944,249.41,,,
,,,,,,,,,293,239.723,229.28,,,
,,,,,,,,,294,241.617,226.755,,,
,,,,,,,,,295,253.4226,256.15,,,
,,,,,,,,,296,230.3762,217.32,,,
,,,,,,,,,297,251.4224,243.93,,,
,,,,,,,,,298,262.2184,249.86,,,
,,,,,,,,,299,231.037,220.76,,,
,,,,,,,,,300,241.8144,248.52,,,
,,,,,,,,,301,266.197,249.86,,,
,,,,,,,,,302,230.8218,236.72,,,
,,,,,,,,,303,224.0016,218.36,,,
,,,,,,,,,304,246.7742,233.205,,,
,,,,,,,,,305,241.1654,220.76,,,
,,,,,,,,,306,242.6114,242.825,,,
,,,,,,,,,307,244.8334,226.87,,,
,,,,,,,,,308,237.7096,218.65,,,
,,,,,,,,,309,246.9804,243.27,,,
,,,,,,,,,310,240.5322,248.965,,,
,,,,,,,,,311,255.92,250.31,,,
,,,,,,,,,312,238.951,237.695,,,
,,,,,,,,,313,251.374,249.41,,,
,,,,,,,,,314,233.874,226.87,,,
,,,,,,,,,315,221.3388,226.87,,,
,,,,,,,,,316,237.3626,228.075,,,
,,,,,,,,,317,229.2832,219.85,,,
,,,,,,,,,318,241.0416,238.9,,,
,,,,,,,,,319,234.2362,236.72,,,
,,,,,,,,,320,242.2496,228.075,,,
,,,,,,,,,321,218.3078,218.65,,,
,,,,,,,,,322,234.2166,216.28,,,
,,,,,,,,,323,244.8648,236.925,,,
,,,,,,,,,324,241.109,246.435,,,
,,,,,,,,,325,242.7784,225.02,,,
,,,,,,,,,326,242.1486,229.28,,,
,,,,,,,,,327,238.5062,228.075,,,
,,,,,,,,,328,222.9364,204.02,,,
,,,,,,,,,329,251.0626,258.965,,,
,,,,,,,,,330,241.6686,231.795,,,
,,,,,,,,,331,243.055,236.72,,,
,,,,,,,,,332,241.9324,228.075,,,
,,,,,,,,,333,250.5048,249.415,,,
,,,,,,,,,334,252.6374,249.415,,,
,,,,,,,,,335,236.7058,231.795,,,
,,,,,,,,,336,236.1578,236.925,,,
,,,,,,,,,337,259.82,262.695,,,
,,,,,,,,,338,243.1912,248.965,,,
,,,,,,,,,339,238.6446,226.755,,,
,,,,,,,,,340,247.3978,249.86,,,
,,,,,,,,,341,237.4268,233,,,
,,,,,,,,,342,237.304,225.02,,,
,,,,,,,,,343,242.1254,233,,,
,,,,,,,,,344,245.4906,257.17,,,
,,,,,,,,,345,243.5402,237.13,,,
,,,,,,,,,346,261.1182,254.25,,,
,,,,,,,,,347,223.2708,223.815,,,
,,,,,,,,,348,253.7142,253.44,,,
,,,,,,,,,349,256.0538,249.86,,,
,,,,,,,,,350,244.5822,248.965,,,
,,,,,,,,,351,255.3554,238.14,,,
,,,,,,,,,352,240.9318,227.96,,,
,,,,,,,,,353,252.0494,254.25,,,
,,,,,,,,,354,228.448,229.28,,,
,,,,,,,,,355,245.0694,233,,,
,,,,,,,,,356,241.5076,236.925,,,
,,,,,,,,,357,240.523,233,,,
,,,,,,,,,358,233.641,226.755,,,
,,,,,,,,,359,243.4404,249.41,,,
,,,,,,,,,360,235.0696,233.205,,,
,,,,,,,,,361,228.3702,219.85,,,
,,,,,,,,,362,253.6494,249.625,,,
,,,,,,,,,363,268.2654,277.64,,,
,,,,,,,,,364,228.9746,226.755,,,
,,,,,,,,,365,245.3742,250.07,,,
,,,,,,,,,366,256.3776,253.44,,,
,,,,,,,,,367,230.7908,218.36,,,
,,,,,,,,,368,238.1246,248.52,,,
,,,,,,,,,369,243.1082,233,,,
,,,,,,,,,370,227.5606,218.36,,,
,,,,,,,,,371,243.2482,250.52,,,
,,,,,,,,,372,250.3752,250.73,,,
,,,,,,,,,373,230.4756,226.755,,,
,,,,,,,,,374,244.2348,250.31,,,
,,,,,,,,,375,237.176,248.52,,,
,,,,,,,,,376,252.5082,249.41,,,
,,,,,,,,,377,236.247,219.85,,,
,,,,,,,,,378,233.21,219.85,,,
,,,,,,,,,379,260.9652,253.44,,,
,,,,,,,,,380,248.6296,249.415,,,
,,,,,,,,,381,234.1858,220.76,,,
,,,,,,,,,382,230.2716,222.79,,,
,,,,,,,,,383,255.3322,249.41,,,
,,,,,,,,,384,250.7748,249.86,,,
,,,,,,,,,385,254.1834,248.965,,,
,,,,,,,,,386,238.8648,229.28,,,
,,,,,,,,,387,236.1736,236.72,,,
,,,,,,,,,388,243.713,233,,,
,,,,,,,,,389,226.8688,218.36,,,
,,,,,,,,,390,235.2062,233,,,
,,,,,,,,,391,245.854,236.925,,,
,,,,,,,,,392,236.5002,236.925,,,
,,,,,,,,,393,245.5766,256.15,,,
,,,,,,,,,394,242.3598,239.345,,,
,,,,,,,,,395,238.4374,233,,,
,,,,,,,,,396,229.6532,218.94,,,
,,,,,,,,,397,231.4942,218.94,,,
,,,,,,,,,398,243.523,242.62,,,
,,,,,,,,,399,254.2334,253.44,,,
,,,,,,,,,400,243.3898,237.13,,,
,,,,,,,,,401,246.9724,237.13,,,
,,,,,,,,,402,243.4708,237.13,,,
,,,,,,,,,403,245.1906,238.9,,,
,,,,,,,,,404,239.9162,223.7,,,
,,,,,,,,,405,252.9002,249.86,,,
,,,,,,,,,406,247.3796,233,,,
,,,,,,,,,407,241.935,249.415,,,
,,,,,,,,,408,239.409,232,,,
,,,,,,,,,409,257.6994,253.44,,,
,,,,,,,,,410,238.2934,226.64,,,
,,,,,,,,,411,261.082,262.695,,,
,,,,,,,,,412,239.9478,242.62,,,
,,,,,,,,,413,230.6678,237.13,,,
,,,,,,,,,414,232.01,236.72,,,
,,,,,,,,,415,256.122,250.31,,,
,,,,,,,,,416,236.4934,226.755,,,
,,,,,,,,,417,230.387,231.795,,,
,,,,,,,,,418,257.931,250.07,,,
,,,,,,,,,419,241.738,226.755,,,
,,,,,,,,,420,246.097,248.52,,,
,,,,,,,,,421,246.4884,249.86,,,
,,,,,,,,,422,255.2952,249.86,,,
,,,,,,,,,423,253.1862,250.31,,,
,,,,,,,,,424,231.6332,220.76,,,
,,,,,,,,,425,267.4222,267.69,,,
,,,,,,,,,426,239.1406,233,,,
,,,,,,,,,427,242.9376,226.755,,,
,,,,,,,,,428,233.9124,226.64,,,
,,,,,,,,,429,239.2452,226.755,,,
,,,,,,,,,430,248.7118,236.925,,,
,,,,,,,,,431,257.5064,250.73,,,
,,,,,,,,,432,260.235,267.2,,,
,,,,,,,,,433,251.884,249.625,,,
,,,,,,,,,434,242.6738,226.64,,,
,,,,,,,,,435,231.1548,236.925,,,
,,,,,,,,,436,238.144,248.965,,,
,,,,,,,,,437,227.9296,223.815,,,
,,,,,,,,,438,236.899,228.075,,,
,,,,,,,,,439,256.393,237.13,,,
,,,,,,,,,440,222.7718,218.94,,,
,,,,,,,,,441,244.6098,248.52,,,
,,,,,,,,,442,242.6468,249.41,,,
,,,,,,,,,443,234.5456,219.85,,,
,,,,,,,,,444,252.915,253.44,,,
,,,,,,,,,445,261.2204,267.69,,,
,,,,,,,,,446,245.804,236.925,,,
,,,,,,,,,447,248.3524,242.62,,,
,,,,,,,,,448,235.7492,229.28,,,
,,,,,,,,,449,227.2488,222.79,,,
,,,,,,,,,450,250.2602,248.52,,,
,,,,,,,,,451,226.6764,217.61,,,
,,,,,,,,,452,244.7634,248.965,,,
,,,,,,,,,453,237.8112,228.075,,,
,,,,,,,,,454,257.8222,253.23,,,
,,,,,,,,,455,254.2602,248.965,,,
,,,,,,,,,456,229.2938,222.905,,,
,,,,,,,,,457,241.0662,239.345,,,
,,,,,,,,,458,246.1002,249.415,,,
,,,,,,,,,459,254.3352,249.415,,,
,,,,,,,,,460,245.7662,248.965,,,
,,,,,,,,,461,239.7748,233,,,
,,,,,,,,,462,250.4602,248.52,,,
,,,,,,,,,463,268.141,267.69,,,
,,,,,,,,,464,232.7584,243.27,,,
,,,,,,,,,465,250.2604,249.415,,,
,,,,,,,,,466,234.7264,236.925,,,
,,,,,,,,,467,232.8852,220.76,,,
,,,,,,,,,468,248.027,239.345,,,
,,,,,,,,,469,245.1246,237.13,,,
,,,,,,,,,470,250.9098,254.46,,,
,,,,,,,,,471,229.1658,226.64,,,
,,,,,,,,,472,254.6802,248.52,,,
,,,,,,,,,473,245.2056,233,,,
,,,,,,,,,474,250.1882,249.415,,,
,,,,,,,,,475,222.9222,219.56,,,
,,,,,,,,,476,247.6986,236.72,,,
,,,,,,,,,477,248.9912,227.96,,,
,,,,,,,,,478,243.927,236.925,,,
,,,,,,,,,479,240.008,250.52,,,
,,,,,,,,,480,216.7608,216.875,,,
,,,,,,,,,481,236.5528,229.28,,,
,,,,,,,,,482,250.2496,250.31,,,
,,,,,,,,,483,246.8076,250.52,,,
,,,,,,,,,484,229.6146,226.64,,,
,,,,,,,,,485,237.274,223.7,,,
,,,,,,,,,486,237.2878,236.72,,,
,,,,,,,,,487,232.18,226.755,,,
,,,,,,,,,488,241.5158,242.825,,,
,,,,,,,,,489,249.0708,242.62,,,
,,,,,,,,,490,225.5502,219.85,,,
,,,,,,,,,491,240.0514,237.13,,,
,,,,,,,,,492,240.2816,248.52,,,
,,,,,,,,,493,244.4984,250.31,,,
,,,,,,,,,494,238.4656,233,,,
,,,,,,,,,495,246.0574,243.93,,,
,,,,,,,,,496,224.2518,217.32,,,
,,,,,,,,,497,238.1248,226.64,,,
,,,,,,,,,498,224.7156,225.02,,,
,,,,,,,,,499,240.4824,226.87,,,
,,,,,,,,,500,236.8198,233,,,
,,,,,,,,,501,239.5928,237.13,,,
,,,,,,,,,502,243.7862,233,,,
,,,,,,,,,503,232.7718,226.87,,,
,,,,,,,,,504,240.8074,218.94,,,
,,,,,,,,,505,235.626,219.85,,,
,,,,,,,,,506,230.3296,226.64,,,
,,,,,,,,,507,248.2374,236.72,,,
,,,,,,,,,508,237.8178,228.075,,,
,,,,,,,,,509,241.227,236.925,,,
,,,,,,,,,510,237.4386,226.87,,,
,,,,,,,,,511,248.5746,236.72,,,
,,,,,,,,,512,253.6538,248.965,,,
,,,,,,,,,513,234.0804,237.13,,,
,,,,,,,,,514,249.0996,243.27,,,
,,,,,,,,,515,248.9628,237.13,,,
,,,,,,,,,516,247.2868,257.17,,,
,,,,,,,,,517,235.6458,228.075,,,
,,,,,,,,,518,250.5464,277.19,,,
,,,,,,,,,519,220.6308,215.39,,,
,,,,,,,,,520,219.5806,226.87,,,
,,,,,,,,,521,268.9466,272.42,,,
,,,,,,,,,522,236.8844,229.28,,,
,,,,,,,,,523,250.671,256.15,,,
,,,,,,,,,524,248.3782,236.925,,,
,,,,,,,,,525,221.9592,218.65,,,
,,,,,,,,,526,248.0266,236.925,,,
,,,,,,,,,527,238.4324,242.825,,,
,,,,,,,,,528,240.745,223.7,,,
,,,,,,,,,529,245.804,248.965,,,
,,,,,,,,,530,234.8652,237.13,,,
,,,,,,,,,531,210.8822,215.835,,,
,,,,,,,,,532,241.914,248.52,,,
,,,,,,,,,533,244.002,248.965,,,
,,,,,,,,,534,234.4178,236.925,,,
,,,,,,,,,535,243.1894,243.27,,,
,,,,,,,,,536,253.6158,242.825,,,
,,,,,,,,,537,236.7316,237.13,,,
,,,,,,,,,538,240.7782,250.73,,,
,,,,,,,,,539,240.3404,223.7,,,
,,,,,,,,,540,252.5674,250.31,,,
,,,,,,,,,541,226.8278,226.64,,,
,,,,,,,,,542,237.0982,223.7,,,
,,,,,,,,,543,237.7088,237.13,,,
,,,,,,,,,544,259.7374,277.415,,,
,,,,,,,,,545,256.4984,253.44,,,
,,,,,,,,,546,246.0982,233,,,
,,,,,,,,,547,257.098,243.27,,,
,,,,,,,,,548,237.6874,227.96,,,
,,,,,,,,,549,254.4324,249.625,,,
,,,,,,,,,550,244.8216,237.13,,,
,,,,,,,,,551,244.6406,248.965,,,
,,,,,,,,,552,244.6098,242.62,,,
,,,,,,,,,553,217.7894,217.32,,,
,,,,,,,,,554,247.9342,249.415,,,
,,,,,,,,,555,246.9584,249.625,,,
,,,,,,,,,556,250.5692,248.52,,,
,,,,,,,,,557,231.3216,237.13,,,
,,,,,,,,,558,250.659,236.72,,,
,,,,,,,,,559,220.0972,220.76,,,
,,,,,,,,,560,252.997,249.41,,,
,,,,,,,,,561,266.1456,277.415,,,
,,,,,,,,,562,248.4028,242.825,,,
,,,,,,,,,563,236.1446,218.94,,,
,,,,,,,,,564,251.4882,236.925,,,
,,,,,,,,,565,229.8496,219.85,,,
,,,,,,,,,566,235.4754,226.64,,,
,,,,,,,,,567,239.714,236.72,,,
,,,,,,,,,568,247.0232,250.52,,,
,,,,,,,,,569,254.3534,250.31,,,
,,,,,,,,,570,246.1074,227.96,,,
,,,,,,,,,571,238.3742,233,,,
,,,,,,,,,572,240.4594,236.925,,,
,,,,,,,,,573,234.8132,226.755,,,
,,,,,,,,,574,251.3314,250.52,,,
,,,,,,,,,575,250.8638,250.52,,,
,,,,,,,,,576,248.1966,233,,,
,,,,,,,,,577,249.5176,243.065,,,
,,,,,,,,,578,231.8912,219.85,,,
,,,,,,,,,579,247.3328,249.625,,,
,,,,,,,,,580,242.7968,236.925,,,
,,,,,,,,,581,233.0842,226.87,,,
,,,,,,,,,582,233.92,231.795,,,
,,,,,,,,,583,239.4102,236.72,,,
,,,,,,,,,584,250.6912,249.86,,,
,,,,,,,,,585,234.9966,237.13,,,
,,,,,,,,,586,223.5746,228.075,,,
,,,,,,,,,587,228.7428,222.5,,,
,,,,,,,,,588,221.5918,217.32,,,
,,,,,,,,,589,232.0802,237.13,,,
,,,,,,,,,590,245.022,249.86,,,
,,,,,,,,,591,252.0398,248.965,,,
,,,,,,,,,592,234.3226,236.925,,,
,,,,,,,,,593,245.6506,237.13,,,
,,,,,,,,,594,240.6248,248.52,,,
,,,,,,,,,595,245.3846,248.52,,,
